pin1	pin2	pin3	pin4	pin5
37.7994	29.1642	4.63979	35.5191	30.8053
37.858	29.2214	4.67894	35.5643	30.9226
37.9161	29.2782	4.71778	35.6087	31.0389
37.9738	29.3347	4.75631	35.6524	31.1543
38.031	29.3907	4.79453	35.6955	31.2687
38.0876	29.4463	4.83243	35.7378	31.3821
38.1439	29.5015	4.87002	35.7795	31.4946
38.1996	29.5563	4.90729	35.8205	31.6061
38.2549	29.6108	4.94424	35.8608	31.7167
38.3097	29.6648	4.98088	35.9005	31.8264
38.364	29.7184	5.01719	35.9396	31.9351
38.4179	29.7717	5.05318	35.978	32.043
38.4713	29.8246	5.08885	36.0158	32.1499
38.5243	29.8771	5.1242	36.0529	32.2558
38.5768	29.9292	5.15923	36.0895	32.3609
38.6289	29.981	5.19394	36.1255	32.4651
38.6805	30.0324	5.22833	36.1608	32.5683
38.7317	30.0834	5.2624	36.1956	32.6707
38.7825	30.1341	5.29615	36.2298	32.7722
38.8328	30.1844	5.32959	36.2635	32.8727
38.8827	30.2343	5.36272	36.2966	32.9724
38.9322	30.2839	5.39553	36.3291	33.0713
38.9813	30.3331	5.42802	36.3611	33.1692
39.03	30.382	5.46021	36.3926	33.2663
39.0782	30.4305	5.49209	36.4235	33.3625
39.126	30.4787	5.52367	36.454	33.4578
39.1735	30.5266	5.55494	36.4839	33.5523
39.2205	30.5741	5.5859	36.5133	33.6459
39.2671	30.6212	5.61657	36.5422	33.7387
39.3133	30.6681	5.64694	36.5706	33.8306
39.3592	30.7146	5.67701	36.5986	33.9217
39.4046	30.7607	5.70678	36.626	34.0119
39.4497	30.8066	5.73627	36.653	34.1013
39.4944	30.8521	5.76547	36.6796	34.1899
39.5386	30.8973	5.79437	36.7057	34.2777
39.5826	30.9421	5.823	36.7313	34.3646
39.6261	30.9867	5.85134	36.7565	34.4507
39.6693	31.0309	5.8794	36.7813	34.5361
39.7121	31.0748	5.90718	36.8056	34.6206
39.7545	31.1184	5.93469	36.8296	34.7043
39.7966	31.1617	5.96192	36.8531	34.7872
39.8383	31.2047	5.98888	36.8762	34.8693
39.8797	31.2474	6.01558	36.8989	34.9506
39.9207	31.2898	6.04201	36.9212	35.0312
39.9613	31.3319	6.06818	36.9431	35.1109
40.0016	31.3736	6.09408	36.9646	35.1899
40.0416	31.4151	6.11973	36.9858	35.2681
40.0812	31.4563	6.14512	37.0066	35.3456
40.1205	31.4972	6.17026	37.027	35.4222
