NOReflux NOQC,NOReflux QC,Reflux NOQC,Reflux QC
1.50348,1.69571,3.54886,2.61401
1.50299,1.69125,3.55713,2.60847
1.50249,1.68477,3.56569,2.60015
1.50197,1.67748,3.57417,2.59056
1.50142,1.67036,3.58215,2.58136
1.50086,1.66397,3.58907,2.57275
1.50028,1.65854,3.59447,2.56506
1.49967,1.65406,3.59816,2.55815
1.49905,1.65047,3.60024,2.55187
1.49841,1.64762,3.60082,2.54589
1.49775,1.64536,3.60015,2.53968
1.49707,1.64356,3.59848,2.53253
1.49637,1.6421,3.59615,2.52372
1.49565,1.64089,3.59351,2.5128
1.49492,1.63986,3.59078,2.49964
1.49418,1.63897,3.58804,2.48452
1.49342,1.63819,3.58598,2.4678
1.49265,1.6375,3.58813,2.44984
1.49186,1.63687,3.5869,2.43103
1.49107,1.6363,3.58794,2.41173
1.49026,1.63579,3.58996,2.40911
1.48944,1.63533,3.59165,2.41247
1.48861,1.63494,3.59247,2.4109
1.48777,1.63461,3.59252,2.40632
1.48693,1.63434,3.59235,2.39904
1.48607,1.63414,3.59257,2.39237
1.48521,1.63401,3.5897,2.39607
1.48434,1.63394,3.5845,2.40302
1.48347,1.63394,3.57895,2.40938
1.48259,1.634,3.57361,2.40967
1.4817,1.63411,3.53461,2.41575
1.48082,1.63429,3.49557,2.42553
1.47993,1.63453,3.46286,2.43679
1.47903,1.63482,3.43386,2.44986
1.47814,1.63518,3.40859,2.46438
1.47724,1.63559,3.38678,2.47896
1.47634,1.63605,3.36793,2.49183
1.47544,1.63656,3.35213,2.50251
1.47454,1.63711,3.33896,2.51111
1.47364,1.63771,3.32831,2.51816
1.47274,1.63836,3.31778,2.5251
1.47185,1.63903,3.30695,2.52998
1.47096,1.63974,3.29692,2.5344
1.47007,1.64049,3.2888,2.53935
1.46918,1.64126,3.28368,2.54556
1.4683,1.64205,3.2832,2.55307
1.46742,1.64287,3.28853,2.56191
1.46655,1.64371,3.29922,2.5719
1.46567,1.64456,3.31409,2.58288
1.46481,1.64543,3.33092,2.59462
1.46394,1.6463,3.34806,2.61247
1.46308,1.64719,3.36474,2.62684
1.46222,1.64807,3.3808,2.6405
1.46136,1.64895,3.3962,2.65325
1.4605,1.64983,3.41142,2.66555
1.45964,1.65071,3.42617,2.67599
1.45878,1.65157,3.44317,2.67541
1.45791,1.65242,3.46162,2.67169
1.45705,1.65325,3.47959,2.66886
1.45618,1.65408,3.48872,2.66665
1.4553,1.65489,3.52901,2.6651
1.45441,1.65568,3.57081,2.66388
